creative_sectors,Other_Creative_Sectors,Famous_Landmarks,Lat,Lon
53Woodwork_and_stonework,,CIQAM,36.31988245,74.67994911
58Other,MUSIC,LEIF LARSON MUSIC CENTRE. Altit Hunza,36.31683384,74.6817552
58Other,Music ( Performing Arts),Hunza Arts Council,36.30552913,74.61550037
54Metal_gems_and_jewellery,,KADO (Karakurum Area Devolopment Organization).,36.30871427,74.61367311
58Other,Music,Bulbulik Heritage Centre.,36.38856996,74.86134725
54Metal_gems_and_jewellery,,KADO Social Business Devolopment Centre Karimabad Hunza,36.32472757,74.66878554
53Woodwork_and_stonework,,Hunzo-e-Hayan,36.32432345,74.66790308
57Festivals,,Hunza Cultural Musicale Institute & Training Centre Altit Hunza,36.32213375,74.67893286
56Local_media,,Hunza 24/7,36.30812697,74.61572725
58Other,Painting,Salman Hunzai Arts Studio,36.30584404,74.61276855
Carpets,,Korgah (Gulmit Carpet Center),36.390377,74.864049
