city,creative_sectors,Famous_Landmarks,Lat,Lon,Crafts
,,Nagar,36.281577,74.71473,Embroidery
,,Hunza,36.427005,74.549294,"Carpet Making, Embroidery, Wooden Products, Musical Instruments, Patti Making, Sharma"
,,Ishkuma,36.519754,73.848489,"Embroidery, Basketry"
,,Gilgit,35.893207,74.388114,"Wooden Products, Sharma"
,,Kalam,35.481235,72.588107,"Wool Products, Patti Making"
,,Chitral,35.850797,71.790312,"Wool Products, Patti Making, Embroidery, Musical Instruments, Sandals/Shoes, Braiding"
,,Swat,34.659049,72.060177,"Wooden Products, Embroidery, Patti Making, Wool Products, Braiding, Silk"
,,Kaghan,34.780626,73.524155,"Patti Making, Floor Covering"
,,Hazara,33.892175,73.281214,"Doll Making, Embroidery, Carpet Making"
,,Tangi,33.949248,72.004841,Khaddar/Cotton
,,Dara,32.601695,71.158131,"Metal Crafts, Musical Instruments, Sandals/Shoes, Cotton, Wax Painting"
,,Mardan,34.193797,72.045147,Cotton
,,Charsadda,34.144233,71.732374,"Cotton, Khaddar, Sandals/Shoes"
,,Peshawar,34.012385,71.578746,"Thread Work, Wooden Products, Musical Instruments, Metal Crafts, Cotton, Khaddar/Cotton, Pottery, Embroidery, Quilting, Paranda"
,,Kohaat,33.596714,71.439994,Basketry
,,Abbotabad,34.180263,73.229977,"Jewellery, Silk, Wool Products, Wooden Products, Embroidery"
,,Karak,33.157714,71.215677,Basketry
,,Tank,32.220694,70.386833,"Carpet Making, Basketry"
,,N. Waziristan,32.33651,70.122303,Caroet Making
,,D.I. Khan,31.8626,70.9019,"Embroidery, Floor Covering, Carpet Making, Lacquer Art, Basketry, Wool Products, Braiding"
,,Muzaffarabad,34.371443,73.471022,"Marble Cutting, Pottery, Rugs/Namda, Embroidery, Wooden Products, Paper Mache, Basketry, Candles, Gabba, Carpet Making"
,,Rawalakot,33.857972,73.760392,"Rugs/Namda, Pottery, Basketry, Carpet Making, Wooden Products"
,,Murree,33.905388,73.390341,"Basketry, Dol Making, Embroidery, Carpet Making"
,,Taxila,33.747575,72.807456,Stone Carving
,,Rawalpindi,33.599148,73.0641,Doll Making
,,Attock,33.769532,72.361091,Carpet Making
,,Jhelum,32.9425,73.7257,Khees
,,Chakwal,32.932293,72.856166,"Khussa, Lungi"
,,Gujrat,32.568678,74.071481,"Khees, Wooden Products"
,,Wazirabad,32.441126,74.118423,"Duree/Cotton Rugs, Cotton Printing, Carpet Making"
,,Sialkot,32.493538,74.541158,Leather Work
,,Gujranwala,32.152531,74.193375,Wool Products
,,Shiekhupura,31.708529,73.986401,"Cotton Printing, Cotton"
,,Sargodha,32.089801,72.678257,"Khees, Lungi"
,,Silanwali,31.889644,72.696443,"Wooden Products, Lacquer Art"
,,Chiniot,31.721994,72.980035,Wooden Products
,,Karor Pacca,29.6438,71.9164,"Block Printing, Cotton Printing"
,,Faisalabad,31.422056,73.092325,"Cotton Printing, Cotton, Lungi, Wool Products"
,,Shah Kot,31.5757,73.4815,"Cotton Printing, Leather Work"
,,Jhang,31.2781,72.3317,"Khaddar, Lungi"
,,Kamalia,30.7222,72.6447,Khaddar
,,Taunsa Sharif,30.702589,70.651128,Embroidery
,,D.G. Khan,30.0489,70.6455,"Wool Products, Carpets Making, Embroidery"
,,Multan,30.1775,71.4885,"Cotton, Leather, Lungi, Khees, Pottery, Cotton Printing, Embroidery, Bone Work, Duree/Cotton Rugs, Sussi"
,,Vehari,30.041664,72.353535,"Khaddar, Cotton"
,,Bahawal Nagar,29.993592,73.252762,Wool Products
,,Bahawalpur,29.3544,71.6911,"Embroidery, Duree/Cotton Rugs, Khees, Pottery, Carpet Making, Wool Products"
,,Ahmed Pur East,29.1459,71.2518,"Gindi, Carpet Making Pottery, Khussa"
,,Cholistan,28.5062,71.5724,"Carpet Making, Wool Products, Gindi, Tie and Dye"
,,Muzaffar Garh,30.0736,71.1805,"Basketry, Carpet Making"
,,Fort Minro,29.927638,69.984729,Embroidery
,,Lodhran,29.53904,71.63442,"Embroidery, Khees"
,,Kasur,31.117514,74.447831,"Khees, Lungi"
,,Lahore,31.519582,74.326297,"Caroet Making, Cotton Printing, Stone Carving, Doll Making, Carpet Making, Tie and Dye, Metal Crafts, Glass Work, Pottery, Duree/Cotton Rugs,"
,,Jacobabad,28.2909461,68.4350628,"Sindhi Cap, Sindhi Dress, Rilhi Work, Farasi, Bead Work, Basketry, Glass Work, Azarband"
,,Kandhot,28.2462639,69.17243732,"Rilhi Work, Hand Looms"
,,Ghotki,28.00262865,69.31411029,Hand Looms
,,Sukkur,27.6961883,68.8588754,"Sindhi Dress, Hand Looms, Glass Work, Wooden Products"
,,Khairpur,27.5295402,68.7634109,"Wooden Products, Sindhi Dress, Rilhi Work, Glass Work, Hand Looms"
,,Shikarpur,27.9561536,68.6319422,"Rilhi Work, Embroidery"
,,Larkana,27.5564798,68.2101509,"Emboidery, Carper Making, Ajrak"
,,Gambat,27.352305,68.5236061,"Siindhi Cap, Sindhi Dress, Farasi, Khees, Khatha, Doll Making"
,,Naushahro Firoz,26.8400538,68.1188286,Sindhi Dress
,,Dadu,26.7321366,67.7718334,"Sindhi Cap, Basketry, Farasi"
,,Sanghar,28.1806564,68.3068077,"Rilhi Work, Embroidery"
,,Nawabshah,26.2452915,68.4040229,Sindhi Cap
